id,mssv, lopsh, hocky, namhoc, drl, ghichu
245,2420ED57XPvAibaEXe/Lh6v1XxTKJa6JLFRUPkLM, CTTT2013,2,2013,97, NULL
246,A98AEF88XPvAibaEXe+9GFX9aWroRIeYEl1R5BEu, CTTT2013,2,2013,88, NULL
247,CFC99863XPvAibaEXe+9GFX9aWroRCVdw61ieVzx, CTTT2013,2,2013,59, NULL
248,A23C1291XPvAibaEXe+/EkvXK98Kbb+VMYyY03py, CTTT2013,2,2013,98, NULL
249,AB4D8F99XPvAibaEXe/YKN5ysyYL7EjErJAJK5l+, CTTT2013,2,2013,95, NULL
250,96967470XPvAibaEXe9upvU5DvuC9vY0bll+Ov+G, CTTT2013,2,2013,98, NULL
251,0CBE4487XPvAibaEXe+fmxcqgvribAaiAPDGKOrx, CTTT2013,2,2013,59, NULL
252,3E8BEBA4XPvAibaEXe8ooYk4mkUGmLmviNJ02P9C, CTTT2013,2,2013,79, NULL
253,3919DCB7XPvAibaEXe+5f3nhbX2eh2hsnbnO0cTu, CTTT2013,2,2013,84, NULL
254,D55EBAD9XPvAibaEXe9Z67almz7y5tkcxWS/xrjc, CTTT2013,2,2013,93, NULL
255,2573D935XPvAibaEXe/K6d36/fqcEfxtyVMTrjCz, CTTT2013,2,2013,72, NULL
256,7B5A6EFAXPvAibaEXe/K6d36/fqcEVV1mXjZBID/, CTTT2013,2,2013,80, NULL
257,64670803XPvAibaEXe9MQ7MBXxp/MzXtVck0yGt0, CTTT2013,2,2013,87, NULL
258,0C4BAF73XPvAibaEXe9MQ7MBXxp/M/xAK3s0gD7g, CTTT2013,2,2013,90, NULL
259,6ADA9DBAXPvAibaEXe9MQ7MBXxp/M2MhoNKCuCBr, CTTT2013,2,2013,60, NULL
260,C7E7B212XPvAibaEXe9MQ7MBXxp/M1wiWMoMScEt, CTTT2013,2,2013,63, NULL
261,33540BD5XPvAibaEXe+P6Zzp7Rb5oCZdb2RzFYFL, CTTT2013,2,2013,90, NULL
578,9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF, HTTT2013,2,2013,88, NULL
579,32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI, HTTT2013,2,2013,25, NULL
580,9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr, HTTT2013,2,2013,85, NULL
581,9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe, HTTT2013,2,2013,63, NULL
582,98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ, HTTT2013,2,2013,72, NULL
583,5236793DXPvAibaEXe8ge2UHv4J4B3cK3m4MI0jB, HTTT2013,2,2013,100, NULL
584,53D6B6A5XPvAibaEXe9P07hcrvmhCdWEvna10bwL, HTTT2013,2,2013,37, NULL
585,0D5828BAXPvAibaEXe9P07hcrvmhCf8ZveiQ5xwl, HTTT2013,2,2013,28, NULL
586,31344271XPvAibaEXe9hPQQhQOOPyQ/T6/YpD1bo, HTTT2013,2,2013,83, NULL
587,02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu, HTTT2013,2,2013,48, NULL
588,2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM, HTTT2013,2,2013,80, NULL
589,6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx, HTTT2013,2,2013,59, NULL
590,D8B81312XPvAibaEXe/PGAaNNWvbUIfmRv3bR2wn, HTTT2013,2,2013,77, NULL
591,0DF7E48FXPvAibaEXe8CKeIX0ksEeL2w5FD8Xm6m, HTTT2013,2,2013,87, NULL
592,E4B6DF8FXPvAibaEXe8CKeIX0ksEeOVNfnmEXxAN, HTTT2013,2,2013,64, NULL
593,D3602269XPvAibaEXe80gGmWuNekT3Wj11uigulq, HTTT2013,2,2013,66, NULL
594,314A9EFDXPvAibaEXe83EtiN4MI2ntxuuYLz7OKp, HTTT2013,2,2013,60, NULL
595,AB1F6AA8XPvAibaEXe83EtiN4MI2nszto21zu7z9, HTTT2013,2,2013,45, NULL
596,5792EF1AXPvAibaEXe/YKAlYnC3m90v7yzvt+OYP, HTTT2013,2,2013,68, NULL
597,A27E2507XPvAibaEXe+yU1j0ocViqQmevvgfIZi+, HTTT2013,2,2013,73, NULL
598,66B24040XPvAibaEXe+wmtNhlfgIwn9iSiemRgPv, HTTT2013,2,2013,82, NULL
599,12A9523FXPvAibaEXe+lwq621ApacfioDy2WOjEt, HTTT2013,2,2013,100, NULL
600,9FDA2448XPvAibaEXe/lOccskaOiO4PC+M4AnVN4, HTTT2013,2,2013,28, NULL
601,52B1CC2DXPvAibaEXe+kwIr/VXjl0w+FyuW1abQ7, HTTT2013,2,2013,83, NULL
602,15C33CC5XPvAibaEXe+kwIr/VXjl0wYohOP14Jzj, HTTT2013,2,2013,77, NULL
603,C307F053XPvAibaEXe+nZBq3b0XEhX8PABYu6iV1, HTTT2013,2,2013,91, NULL
604,667D7118XPvAibaEXe9fafwYRU+Npl+YtdtCh0Qt, HTTT2013,2,2013,76, NULL
605,2F08E330XPvAibaEXe9KDsVv3cRkMcUAjGGB+quv, HTTT2013,2,2013,41, NULL
606,647218CBXPvAibaEXe+Y5CB/5gt3MBCxcZ7a+Dsd, HTTT2013,2,2013,73, NULL
607,E69E5181XPvAibaEXe+Y5CB/5gt3MFjmq2+4vhk0, HTTT2013,2,2013,63, NULL
608,AE2B75F4XPvAibaEXe/XBbLEWRhgQe2t9zSwhS9T, HTTT2013,2,2013,100, NULL
609,B9E5D259XPvAibaEXe8VekUw4ELehsnOqNbPmwk3, HTTT2013,2,2013,77, NULL
610,589A68CFXPvAibaEXe/Lh6v1XxTKJfUlQjQQhbFU, HTTT2013,2,2013,83, NULL
611,A1BE3E99XPvAibaEXe/Lh6v1XxTKJbwWcn952SwN, HTTT2013,2,2013,66, NULL
612,AE2C4867XPvAibaEXe/Lh6v1XxTKJdYKiEjXsiho, HTTT2013,2,2013,63, NULL
613,12BD5A01XPvAibaEXe+9GFX9aWroRAJRjB9CgwII, HTTT2013,2,2013,68, NULL
614,45674DCCXPvAibaEXe8s1xx8DWM0qiq9M9msGcc6, HTTT2013,2,2013,67, NULL
615,8E49F159XPvAibaEXe/YKN5ysyYL7Hv6XLBu67/v, HTTT2013,2,2013,79, NULL
616,54BE00A9XPvAibaEXe/zHDidEgqCTolKoAHgTiP9, HTTT2013,2,2013,70, NULL
617,7C8D22EBXPvAibaEXe/zHDidEgqCTmo2dDAaNnf3, HTTT2013,2,2013,86, NULL
618,85100785XPvAibaEXe9FiaSoce50DO/IaKolpO0O, HTTT2013,2,2013,94, NULL
619,646E04CFXPvAibaEXe8WD3qnVG2b/WKYNpmg9hco, HTTT2013,2,2013,76, NULL
620,F8F31D23XPvAibaEXe/uH+ehSKMSjeRjIY7xBtl6, HTTT2013,2,2013,70, NULL
621,A02D332EXPvAibaEXe+suUpvSAu/o2iMqKmL5uY5, HTTT2013,2,2013,50, NULL
622,025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj, HTTT2013,2,2013,71, NULL
623,5666EAF4XPvAibaEXe+Z7KfNHYLttJaLI+SH+DpO, HTTT2013,2,2013,68, NULL
624,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey, HTTT2013,2,2013,77, NULL
625,9C9D7B29XPvAibaEXe9aucNQ7/14aOsZ4IvYO2l6, HTTT2013,2,2013,90, NULL
626,8A2910EAXPvAibaEXe9/su+qLcYDMvhVkY1uRihH, HTTT2013,2,2013,72, NULL
627,34E1582FXPvAibaEXe8hvnm4ihleLZ0ESXtQIDlw, HTTT2013,2,2013,40, NULL
628,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola, HTTT2013,2,2013,72, NULL
629,682C32E0XPvAibaEXe/Bn5cQSu92WX0DcIKdud8D, HTTT2013,2,2013,62, NULL
630,CF7EEC79XPvAibaEXe/Xn8KZjn44cfZ96N8O9J1l, HTTT2013,2,2013,63, NULL
631,1D20ED25XPvAibaEXe8wlx2/dthDAqWOPv1DTtL1, HTTT2013,2,2013,68, NULL
632,37E9895DXPvAibaEXe9E+KuE/nFliak6/YMItssI, HTTT2013,2,2013,53, NULL
633,29026B5FXPvAibaEXe+y4Ivhjp8Sxrc1fKZ69ukD, HTTT2013,2,2013,84, NULL
634,C168DB77XPvAibaEXe/yXiKgsgy0soK5ilvB8bxK, HTTT2013,2,2013,51, NULL
635,134B0E11XPvAibaEXe+sfU1lcH9y3wqzt5gIecFn, HTTT2013,2,2013,84, NULL
636,AD5F09C2XPvAibaEXe+sfU1lcH9y3wY+PST0Mdf9, HTTT2013,2,2013,65, NULL
637,80E552E4XPvAibaEXe+LLvbxzunmJKfwH0Ij28RY, HTTT2013,2,2013,77, NULL
